#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-134205	-127382	-129320	-144529	-137895	-123279	-121822	-127273	-128366	-129051
2	-134107	-127716	-129282	-144397	-137871	-123334	-122077	-127189	-128284	-129159
3	-134186	-127783	-129281	-144445	-137780	-123255	-122038	-127111	-128126	-129341
4	-134366	-127800	-129349	-144472	-137810	-123221	-122171	-127136	-128177	-129360
5	-134250	-127831	-129195	-144474	-138162	-123375	-122270	-127246	-128236	-129232
6	-134237	-127629	-129172	-144162	-138343	-123385	-122219	-127223	-128235	-129261
7	-134109	-127510	-129159	-143864	-138496	-123576	-122390	-127389	-128160	-129201
8	-134176	-127593	-129180	-143844	-138790	-123523	-122666	-127292	-128009	-129034
9	-134321	-127556	-129358	-143946	-138921	-123758	-122589	-127490	-127958	-129028
10	-134512	-127527	-129431	-143942	-138920	-123900	-122562	-127618	-128004	-129076
11	-134613	-127657	-129541	-143921	-138818	-123931	-122566	-127829	-128044	-129018
12	-134707	-127633	-129691	-143881	-138863	-123962	-122581	-127933	-127917	-129199
13	-134626	-127565	-129671	-143853	-138865	-123628	-122770	-127993	-127887	-129156
14	-134425	-127387	-129584	-143603	-138979	-123720	-122783	-127940	-127955	-129073
15	-134194	-127312	-129457	-143440	-139059	-123644	-122883	-127986	-127980	-128999
16	-134201	-127173	-129414	-143581	-139109	-123687	-122976	-127904	-128118	-128991
17	-134298	-126899	-129334	-143574	-139088	-123683	-123084	-127743	-128069	-128795
18	-134240	-126842	-129398	-143535	-139116	-123708	-123256	-127872	-127934	-128768
19	-134395	-126704	-129430	-143546	-139142	-123796	-123204	-127866	-128068	-128492
20	-134628	-126610	-129335	-143760	-139219	-123832	-123441	-127665	-128159	-128317
21	-134819	-126537	-129272	-143855	-139152	-123776	-123515	-127794	-128187	-128338
22	-135111	-126690	-129500	-143955	-139240	-123563	-123749	-127782	-128344	-128335
23	-135219	-126736	-129739	-143780	-139118	-123644	-123934	-127721	-128437	-128403
24	-135156	-126781	-129786	-143764	-139218	-123602	-123961	-127708	-128402	-128486
25	-135058	-126917	-129815	-143776	-139375	-123685	-124021	-127772	-128392	-128541
26	-135034	-126876	-129859	-143938	-139552	-123728	-124122	-127846	-128444	-128424
27	-134829	-126982	-129742	-143868	-139790	-123765	-124061	-128119	-128566	-128374
28	-134773	-127008	-129993	-144086	-139985	-123724	-124165	-128188	-128746	-128105
29	-134836	-126993	-129891	-144115	-140275	-123584	-124220	-128240	-128949	-128122
30	-134896	-127136	-129789	-144277	-140485	-123360	-124435	-128265	-129226	-127827
31	-135161	-127100	-129514	-144406	-140639	-123328	-124600	-128174	-129238	-127570
32	-135375	-126956	-129542	-144518	-140548	-123248	-124669	-128241	-129282	-127517
33	-135758	-126790	-129657	-144515	-140531	-123137	-124810	-128236	-129456	-127503
34	-135921	-126584	-129727	-144523	-140558	-123195	-124827	-128230	-129616	-127320
35	-135953	-126322	-129816	-144599	-140612	-123437	-124871	-128229	-129631	-127415
36	-135980	-126174	-129850	-144715	-140828	-123606	-124752	-128483	-129670	-127391
37	-135943	-126252	-129976	-144736	-140830	-123631	-124749	-128622	-129743	-127446
38	-135877	-126306	-130002	-144959	-140823	-123660	-124851	-128511	-129787	-127290
39	-135688	-126492	-130035	-145013	-140876	-123796	-124664	-128491	-129766	-127268
40	-135854	-126415	-129915	-145043	-140987	-123820	-124593	-128552	-129628	-127241
41	-135813	-126484	-129926	-144940	-140924	-123945	-124679	-128586	-129641	-127426
42	-135873	-126651	-130005	-144740	-141083	-123847	-124728	-128444	-129397	-127375
43	-135988	-126824	-129929	-144677	-141285	-123694	-124786	-128441	-129447	-127289
44	-136043	-126920	-129990	-144943	-141591	-123689	-124829	-128330	-129517	-127351
45	-135928	-127065	-129904	-145025	-141615	-123759	-124979	-128315	-129607	-127327
46	-136207	-127214	-129912	-145001	-141619	-123986	-124969	-128379	-129655	-127208
47	-136371	-127226	-129883	-144956	-141695	-124058	-124875	-128459	-129655	-127234
48	-136349	-127216	-129845	-144970	-141958	-124182	-124819	-128361	-129768	-127121
49	-136481	-127215	-129771	-144965	-142194	-124286	-124863	-128243	-129661	-127009
50	-136418	-127145	-129610	-144897	-142349	-124368	-124707	-128384	-129817	-127022
51	-136524	-127154	-129459	-144993	-142407	-124501	-124538	-128323	-129773	-127038
52	-136578	-126933	-129440	-145234	-142543	-124732	-124358	-128187	-129807	-127090
53	-136600	-126746	-129500	-145354	-142480	-124869	-124047	-128258	-129864	-127076
54	-136845	-126629	-129535	-145386	-142440	-124908	-123815	-128183	-129955	-127117
55	-137080	-126685	-129675	-145501	-142370	-124920	-123877	-128137	-129871	-127121
56	-136942	-126607	-129524	-145522	-142431	-125028	-123735	-128089	-129769	-127277
57	-136899	-126548	-129494	-145784	-142276	-124978	-123748	-128092	-129760	-127292
58	-136928	-126602	-129495	-146122	-142132	-124909	-123708	-127929	-129623	-127455
59	-137071	-126560	-129444	-146352	-142092	-124942	-123692	-127823	-129422	-127604
60	-136979	-126266	-129527	-146619	-141980	-124851	-123535	-127696	-129273	-127702
