#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-7530728	-7468667	-7353608	-7606118	-7504480	-7431724	-7413472	-7574197	-7467061	-7474936
2	-7529071	-7468573	-7352230	-7604644	-7504303	-7431408	-7413517	-7576449	-7466853	-7475499
3	-7528647	-7468639	-7349871	-7602798	-7503991	-7429205	-7413391	-7576486	-7466544	-7475287
4	-7529590	-7468061	-7349489	-7601552	-7504365	-7428065	-7413365	-7576089	-7466775	-7473998
5	-7528991	-7467665	-7350078	-7599527	-7505624	-7428181	-7412981	-7575720	-7466737	-7473031
6	-7528309	-7468105	-7351281	-7598786	-7504749	-7428224	-7413364	-7574532	-7465964	-7472727
7	-7527231	-7469183	-7353112	-7598475	-7504343	-7428231	-7411923	-7573044	-7465056	-7473071
8	-7528166	-7470209	-7354550	-7600499	-7504212	-7428859	-7410660	-7574042	-7464823	-7473866
9	-7530360	-7469562	-7355621	-7601387	-7501475	-7430168	-7409915	-7574366	-7464466	-7474129
10	-7531023	-7467890	-7356793	-7602422	-7500855	-7430608	-7409136	-7574491	-7465118	-7473183
11	-7529208	-7468544	-7357502	-7604212	-7501288	-7430590	-7408608	-7574376	-7465400	-7473703
12	-7529562	-7469205	-7358171	-7606023	-7500758	-7430647	-7407463	-7573660	-7467468	-7473061
13	-7528523	-7471115	-7357067	-7606770	-7501126	-7430988	-7407006	-7572742	-7468565	-7473783
14	-7528231	-7468422	-7356692	-7606909	-7501427	-7430958	-7406921	-7572865	-7470488	-7474518
15	-7527822	-7467676	-7356558	-7606397	-7501891	-7432612	-7406318	-7572499	-7470350	-7474832
16	-7528921	-7467712	-7357469	-7605227	-7503825	-7431779	-7403668	-7573033	-7470413	-7474289
17	-7529067	-7468452	-7356698	-7605340	-7503041	-7433803	-7400845	-7574251	-7470371	-7474668
18	-7529328	-7469460	-7357547	-7607858	-7503744	-7434036	-7399090	-7575217	-7468757	-7473588
19	-7530552	-7470753	-7357583	-7609955	-7504630	-7434142	-7398062	-7576887	-7469551	-7473028
20	-7531820	-7472873	-7356300	-7611397	-7505206	-7434443	-7397235	-7577876	-7470388	-7471885
21	-7532723	-7475019	-7357308	-7611768	-7506353	-7433639	-7395554	-7578466	-7470534	-7470484
22	-7533972	-7475570	-7357492	-7615344	-7506493	-7434782	-7396127	-7577637	-7471574	-7469881
