#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-1268941	-1292801	-1299944	-1265214	-1316213	-1273319	-1268737	-1264379	-1281110	-1240021
2	-1268788	-1292060	-1299863	-1264563	-1316380	-1273176	-1268416	-1264857	-1280532	-1239948
3	-1268756	-1291964	-1300030	-1264450	-1316150	-1273471	-1267847	-1265080	-1280302	-1240464
4	-1269043	-1291865	-1300186	-1264211	-1315994	-1273487	-1267523	-1265484	-1280092	-1241210
5	-1269266	-1291503	-1300098	-1264239	-1316187	-1273715	-1267494	-1266052	-1280172	-1241776
6	-1269241	-1291558	-1300588	-1264267	-1315391	-1274264	-1267385	-1266217	-1280000	-1241892
7	-1269399	-1291762	-1300523	-1264146	-1315282	-1273719	-1267105	-1266680	-1280201	-1241920
8	-1268845	-1291511	-1301125	-1264247	-1314712	-1272905	-1266796	-1267027	-1279484	-1241483
9	-1268601	-1292309	-1300980	-1263965	-1315033	-1272295	-1267400	-1267075	-1279362	-1240319
10	-1268585	-1291784	-1301330	-1263974	-1315430	-1271018	-1267473	-1267564	-1279144	-1238993
11	-1268514	-1291370	-1300745	-1264069	-1315708	-1270061	-1267144	-1268283	-1279275	-1238526
12	-1268948	-1291330	-1300242	-1263220	-1316108	-1269240	-1267013	-1268674	-1279612	-1238916
13	-1268946	-1290872	-1299843	-1262985	-1316602	-1269389	-1266487	-1268716	-1279651	-1238827
14	-1268799	-1290516	-1299424	-1262957	-1315778	-1269039	-1266109	-1268927	-1279438	-1239225
15	-1269059	-1289855	-1299034	-1263096	-1315792	-1268817	-1265962	-1269225	-1279634	-1239243
16	-1269220	-1289586	-1298737	-1262810	-1315028	-1268728	-1265701	-1269621	-1279311	-1239526
17	-1268835	-1289323	-1298604	-1262602	-1314423	-1268817	-1265791	-1269390	-1279472	-1239205
18	-1268412	-1289603	-1299217	-1262162	-1314750	-1269250	-1265827	-1269230	-1278877	-1238979
19	-1268599	-1289359	-1299602	-1262504	-1315237	-1269398	-1265965	-1268318	-1278308	-1238481
20	-1268964	-1288689	-1299335	-1262984	-1315061	-1269213	-1265466	-1268352	-1278381	-1237904
21	-1269304	-1288355	-1299227	-1263665	-1314977	-1269137	-1265054	-1268323	-1278259	-1237576
22	-1269856	-1289001	-1298937	-1264178	-1315027	-1268742	-1264602	-1268205	-1278056	-1236789
23	-1270430	-1288878	-1299268	-1264268	-1315387	-1269046	-1264536	-1268936	-1278246	-1236504
24	-1271755	-1288789	-1299414	-1264184	-1315300	-1268183	-1265351	-1269088	-1277745	-1236517
25	-1272482	-1288802	-1299497	-1263975	-1315308	-1267200	-1264889	-1269576	-1277956	-1236357
26	-1272607	-1288561	-1298781	-1263055	-1315618	-1266801	-1265018	-1270221	-1277779	-1235680
