#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-9031628	-8953653	-8980468	-8833758	-8927268	-8931157	-8964031	-8998975	-8989818	-8947775
2	-9032044	-8954516	-8980419	-8833574	-8926975	-8930085	-8964676	-8998193	-8990144	-8946556
3	-9033427	-8955983	-8980079	-8834455	-8926726	-8929653	-8964541	-8997400	-8991064	-8946917
4	-9034545	-8957331	-8981617	-8834967	-8926952	-8929992	-8965230	-8997924	-8990924	-8946991
5	-9033709	-8957831	-8982459	-8835157	-8928443	-8929611	-8966227	-8997603	-8991646	-8946969
6	-9033723	-8957105	-8982649	-8835173	-8928679	-8928537	-8966303	-8997051	-8990806	-8946669
7	-9034237	-8955980	-8982918	-8835896	-8927668	-8928594	-8966605	-8996718	-8991642	-8946732
8	-9034097	-8955797	-8983315	-8835525	-8927318	-8928318	-8967994	-8996723	-8992764	-8948482
9	-9032778	-8956361	-8983692	-8835617	-8927163	-8928454	-8967274	-8997751	-8993473	-8949146
10	-9031707	-8956339	-8984448	-8837377	-8926863	-8928409	-8967044	-8998686	-8993224	-8949543
11	-9031146	-8955783	-8983762	-8837137	-8926188	-8928420	-8968092	-8999716	-8993861	-8949160
12	-9030331	-8954679	-8983312	-8836758	-8924997	-8929007	-8970109	-8998991	-8994658	-8949490
13	-9031652	-8953977	-8983074	-8835954	-8924691	-8928824	-8970620	-8998106	-8993469	-8949967
14	-9032150	-8954398	-8982231	-8835983	-8924114	-8928057	-8970904	-8997710	-8993090	-8949991
15	-9032445	-8954286	-8982017	-8835482	-8923360	-8927043	-8970641	-8997601	-8992994	-8950615
16	-9032636	-8954493	-8982145	-8836111	-8923442	-8927170	-8969758	-8998342	-8993908	-8951803
17	-9032273	-8954188	-8982502	-8835692	-8924183	-8927497	-8969605	-8998243	-8993607	-8950616
18	-9032417	-8954685	-8982528	-8835400	-8923137	-8927291	-8970199	-8999840	-8992754	-8949808
19	-9033061	-8954505	-8983120	-8836571	-8922427	-8928363	-8970359	-8999653	-8993238	-8949713
20	-9033543	-8954912	-8982864	-8836367	-8923076	-8929441	-8970578	-9000471	-8993837	-8950128
21	-9033054	-8954683	-8982678	-8836883	-8924468	-8929879	-8969298	-9000771	-8994463	-8949532
22	-9033335	-8954415	-8982764	-8837318	-8923740	-8931097	-8969722	-8999334	-8994062	-8949408
23	-9033776	-8955055	-8982795	-8838160	-8923065	-8931695	-8969701	-8999883	-8993217	-8948821
24	-9033820	-8954625	-8982354	-8839148	-8923294	-8932245	-8969668	-8999781	-8993663	-8949563
25	-9034100	-8955870	-8982148	-8838428	-8923234	-8932811	-8969063	-8998909	-8993937	-8949338
26	-9034457	-8955324	-8982756	-8837511	-8921554	-8934270	-8969568	-8999318	-8994094	-8949327
27	-9033647	-8956606	-8982664	-8836161	-8919925	-8935792	-8969582	-9000613	-8992929	-8948818
28	-9034481	-8957234	-8982090	-8835968	-8919990	-8935739	-8970262	-8999679	-8991956	-8946842
29	-9035208	-8955938	-8982142	-8835031	-8919590	-8937068	-8970485	-8999237	-8991134	-8947601
30	-9034607	-8955721	-8981612	-8836228	-8920167	-8935730	-8970000	-8999253	-8991538	-8946927
31	-9034212	-8954674	-8981117	-8836645	-8921344	-8937114	-8970411	-9000621	-8992226	-8945428
32	-9034407	-8954010	-8981458	-8837960	-8921736	-8936640	-8968846	-8999863	-8992356	-8945828
33	-9034659	-8953577	-8982140	-8837460	-8920652	-8937316	-8968241	-8998833	-8993601	-8945591
34	-9033900	-8954719	-8982085	-8837045	-8920189	-8936585	-8968888	-8999304	-8993242	-8945826
35	-9033804	-8955724	-8980884	-8837493	-8919661	-8937424	-8969246	-9000740	-8992979	-8944820
36	-9033322	-8955804	-8980573	-8838309	-8920165	-8937300	-8969656	-9001617	-8993251	-8944430
37	-9033227	-8955882	-8979633	-8839128	-8920941	-8937995	-8969510	-9002418	-8992560	-8944728
38	-9032690	-8955583	-8980439	-8839556	-8922988	-8938313	-8969296	-9003786	-8992167	-8943718
39	-9033174	-8955886	-8979286	-8839487	-8923609	-8937476	-8969199	-9004759	-8991537	-8943650
40	-9033545	-8955796	-8979472	-8839221	-8923445	-8937327	-8969135	-9004411	-8991103	-8944319
41	-9033971	-8955929	-8978804	-8839457	-8924365	-8936876	-8968946	-9001858	-8990281	-8944615
42	-9033692	-8954617	-8978670	-8840368	-8924236	-8936302	-8968587	-9000589	-8989040	-8943311
43	-9032896	-8953906	-8978143	-8841309	-8924405	-8937485	-8969485	-9001435	-8987551	-8943153
44	-9033150	-8953825	-8978867	-8841858	-8923445	-8938486	-8968756	-9001249	-8988139	-8943964
45	-9033468	-8955065	-8978294	-8841411	-8923274	-8938946	-8968268	-9000421	-8987316	-8944265
46	-9033270	-8954425	-8979076	-8841200	-8923411	-8938601	-8967376	-9000753	-8986498	-8944504
47	-9032245	-8953665	-8979449	-8842076	-8923300	-8937565	-8968231	-9001208	-8986356	-8944993
48	-9032947	-8953156	-8979866	-8842774	-8922070	-8938490	-8968738	-9001425	-8987399	-8944638
49	-9033677	-8951856	-8980784	-8844443	-8922634	-8938485	-8969747	-8999251	-8987324	-8943780
50	-9034099	-8952175	-8981136	-8844276	-8922665	-8937422	-8969397	-8998418	-8987477	-8942884
51	-9033756	-8951557	-8981789	-8844267	-8923486	-8937206	-8969345	-8998348	-8987107	-8942224
52	-9034143	-8952391	-8982074	-8844448	-8923161	-8938406	-8968989	-8999648	-8987406	-8940740
53	-9034637	-8951165	-8983267	-8843878	-8922790	-8937373	-8968754	-9000078	-8986464	-8939860
54	-9034763	-8950217	-8983491	-8843990	-8922982	-8936579	-8968812	-9000164	-8985975	-8940785
55	-9036040	-8950308	-8983343	-8843563	-8923073	-8936352	-8968674	-9000204	-8986371	-8939379
56	-9035708	-8950092	-8984210	-8841585	-8923545	-8936530	-8969322	-9000641	-8986823	-8940618
57	-9035634	-8951017	-8984764	-8841288	-8923835	-8936928	-8968962	-9000528	-8986424	-8939813
58	-9035489	-8952143	-8984626	-8841508	-8923918	-8937174	-8969557	-9001118	-8986068	-8939484
59	-9035069	-8950681	-8985069	-8841403	-8924188	-8938004	-8969277	-9001753	-8984887	-8938070
60	-9034352	-8950790	-8983865	-8840264	-8924397	-8937860	-8968404	-9001793	-8985214	-8938273
61	-9033135	-8951009	-8983564	-8839997	-8924558	-8938470	-8968534	-9002296	-8985246	-8936683
62	-9033558	-8950201	-8983119	-8840010	-8923906	-8937609	-8970080	-9003436	-8984141	-8937105
63	-9033183	-8950069	-8984320	-8840483	-8925056	-8939378	-8971207	-9002821	-8983128	-8938016
64	-9032456	-8950230	-8984294	-8840875	-8925317	-8938371	-8971099	-9003956	-8982805	-8937529
65	-9033776	-8949965	-8984367	-8840458	-8925167	-8938597	-8971861	-9004083	-8980914	-8937997
66	-9033366	-8949177	-8984411	-8841163	-8925447	-8939692	-8972207	-9004160	-8979818	-8937559
67	-9033512	-8947670	-8984067	-8841691	-8924033	-8940006	-8972717	-9002989	-8978117	-8936188
68	-9033466	-8947159	-8983523	-8841372	-8924892	-8938941	-8973529	-9004314	-8978722	-8936655
69	-9033459	-8946664	-8983352	-8841365	-8924395	-8938639	-8973561	-9004325	-8978134	-8936009
70	-9033233	-8947655	-8983674	-8841584	-8925067	-8938684	-8974824	-9004885	-8978424	-8936208
71	-9032281	-8947458	-8985641	-8842299	-8925011	-8937941	-8974001	-9004177	-8978451	-8936411
72	-9031552	-8947524	-8985537	-8840855	-8925451	-8938757	-8975423	-9004033	-8977865	-8936780
