#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-3516818	-3515592	-3558708	-3544534	-3588620	-3522543	-3524727	-3534176	-3489983	-3492848
2	-3517320	-3515662	-3559586	-3543713	-3588899	-3522849	-3525319	-3533766	-3490819	-3492596
3	-3517014	-3515486	-3559112	-3543162	-3589805	-3522643	-3526332	-3533063	-3491117	-3492909
4	-3516399	-3516128	-3558894	-3542725	-3589793	-3522096	-3525500	-3533455	-3491169	-3492586
5	-3515955	-3515045	-3559379	-3543151	-3589261	-3522110	-3525318	-3533836	-3491917	-3491549
6	-3515929	-3513491	-3559634	-3542484	-3589941	-3522402	-3525036	-3533382	-3491990	-3490892
7	-3515995	-3512778	-3559722	-3541750	-3590742	-3520947	-3524136	-3533528	-3493420	-3491054
8	-3516309	-3513052	-3560203	-3540766	-3591071	-3520081	-3524104	-3533365	-3493265	-3491544
9	-3516941	-3513362	-3560379	-3539439	-3591221	-3519566	-3525083	-3533248	-3493078	-3491301
10	-3517369	-3513594	-3560959	-3539215	-3590676	-3519308	-3525685	-3534411	-3492499	-3491212
11	-3518462	-3514021	-3559711	-3539184	-3591379	-3520934	-3526699	-3533480	-3493625	-3491032
12	-3519348	-3514062	-3558744	-3538540	-3591912	-3520212	-3526951	-3533682	-3493350	-3491374
13	-3518470	-3514589	-3558440	-3538743	-3592595	-3519515	-3527182	-3534217	-3494160	-3490979
14	-3518625	-3514597	-3559154	-3538133	-3593192	-3518412	-3526547	-3534551	-3493791	-3490518
15	-3518654	-3514650	-3559514	-3537605	-3592043	-3518000	-3526419	-3534806	-3492731	-3489399
16	-3519671	-3514520	-3559068	-3536247	-3591606	-3518265	-3524768	-3534481	-3491972	-3488898
17	-3519549	-3514746	-3559653	-3535097	-3591144	-3518250	-3523822	-3534405	-3492410	-3488534
18	-3518931	-3514076	-3560471	-3534179	-3590384	-3518372	-3523936	-3534358	-3493312	-3487300
19	-3517761	-3513990	-3560787	-3534056	-3589851	-3516527	-3525090	-3535101	-3495157	-3486759
20	-3517900	-3514890	-3561763	-3533595	-3588908	-3515788	-3525531	-3535706	-3497211	-3486052
21	-3517846	-3515150	-3561008	-3532999	-3588420	-3514659	-3526737	-3535425	-3498673	-3485985
22	-3516713	-3515453	-3560545	-3533094	-3588691	-3514115	-3527221	-3535537	-3499489	-3485315
23	-3516418	-3515394	-3561079	-3533294	-3588909	-3513601	-3526848	-3535377	-3500830	-3485316
24	-3517026	-3515443	-3560834	-3532972	-3589198	-3512503	-3526090	-3537209	-3500048	-3485048
25	-3517284	-3515846	-3560143	-3532806	-3589094	-3511524	-3524945	-3537806	-3499878	-3485592
26	-3515659	-3516354	-3558848	-3532616	-3589533	-3512365	-3523739	-3538841	-3499083	-3485810
27	-3515756	-3516037	-3558915	-3532879	-3589925	-3512186	-3523176	-3538642	-3498710	-3484481
28	-3515285	-3515387	-3558523	-3532566	-3589405	-3512200	-3522649	-3538801	-3498705	-3483429
29	-3514864	-3514790	-3557853	-3531659	-3589897	-3512938	-3521693	-3539142	-3499139	-3483540
30	-3514978	-3514540	-3557290	-3531086	-3589597	-3513087	-3521099	-3539709	-3500175	-3483860
31	-3514208	-3514183	-3556323	-3531719	-3589692	-3513452	-3519628	-3538581	-3500150	-3484281
32	-3515102	-3513097	-3556849	-3531623	-3589760	-3513373	-3519056	-3538235	-3500176	-3484037
33	-3515100	-3512828	-3556384	-3531998	-3589913	-3513466	-3518537	-3537613	-3500728	-3484078
34	-3515548	-3512766	-3556544	-3533059	-3589705	-3513215	-3517999	-3536127	-3501138	-3483680
35	-3516141	-3514314	-3556474	-3532544	-3589067	-3513336	-3518082	-3534365	-3499992	-3483242
36	-3515756	-3514572	-3555703	-3531897	-3589259	-3513580	-3518094	-3534285	-3500416	-3483401
37	-3515291	-3515352	-3554857	-3530957	-3589221	-3513243	-3517343	-3534761	-3500414	-3482395
38	-3516060	-3515991	-3554389	-3530282	-3588747	-3512839	-3516275	-3534588	-3501343	-3482364
39	-3515834	-3515994	-3553832	-3530005	-3587448	-3512193	-3516647	-3534786	-3501758	-3481789
40	-3515754	-3515637	-3552296	-3529714	-3588349	-3510617	-3515317	-3535091	-3502728	-3481354
41	-3515934	-3515836	-3551637	-3530518	-3588254	-3509960	-3514440	-3535123	-3503381	-3480372
42	-3515791	-3515242	-3550146	-3531179	-3588165	-3508505	-3513532	-3535336	-3503087	-3479668
43	-3515873	-3514041	-3550534	-3531130	-3588168	-3508536	-3513664	-3534504	-3502131	-3479595
44	-3516191	-3513435	-3551480	-3531011	-3587211	-3508779	-3515147	-3534480	-3501650	-3479292
45	-3516802	-3513361	-3552017	-3530836	-3587234	-3508908	-3515487	-3534505	-3500537	-3478789
46	-3516072	-3513475	-3551777	-3530868	-3586867	-3509373	-3515379	-3534527	-3499777	-3478288
47	-3515813	-3514098	-3550626	-3531183	-3584809	-3509850	-3514134	-3534387	-3499555	-3478532
48	-3515286	-3514179	-3550216	-3530323	-3583611	-3509766	-3513706	-3534077	-3499628	-3478091
49	-3515920	-3515225	-3548949	-3530191	-3583048	-3509855	-3513502	-3533670	-3499099	-3477705
50	-3516139	-3516561	-3547755	-3530758	-3582977	-3509054	-3513738	-3534190	-3499233	-3477101
51	-3516890	-3516237	-3546918	-3531399	-3582478	-3508178	-3512195	-3534577	-3500347	-3475884
52	-3517165	-3516099	-3546243	-3531254	-3582904	-3507529	-3511041	-3534738	-3501410	-3476180
53	-3516922	-3515500	-3545942	-3531166	-3582206	-3506782	-3510545	-3535211	-3501919	-3476569
54	-3516043	-3515412	-3545201	-3531837	-3581474	-3506130	-3509722	-3535454	-3501251	-3476241
55	-3515590	-3515493	-3544463	-3532196	-3581836	-3506565	-3509055	-3536184	-3501504	-3476064
56	-3515638	-3515396	-3544441	-3532187	-3582683	-3507724	-3508026	-3536613	-3501335	-3476401
57	-3516144	-3515881	-3544017	-3532206	-3583268	-3507954	-3506733	-3536861	-3500789	-3477370
58	-3516282	-3515767	-3544606	-3532833	-3583840	-3506792	-3505095	-3537519	-3500450	-3476270
59	-3516803	-3516216	-3544588	-3532480	-3584341	-3505914	-3504747	-3536996	-3500185	-3475550
