#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-8874252	-8971188	-8951492	-8997590	-8977667	-9004602	-8900524	-8971199	-8961830	-8999550
2	-8873281	-8970814	-8950355	-8997821	-8978357	-9005555	-8900394	-8971737	-8962549	-8998162
3	-8872922	-8970605	-8951057	-8997991	-8978949	-9006780	-8901024	-8971483	-8962344	-8997918
4	-8873723	-8969313	-8951822	-8997563	-8978457	-9006872	-8901687	-8972137	-8960784	-8998401
5	-8874974	-8969550	-8952008	-8998107	-8979680	-9006091	-8901321	-8971806	-8961549	-8998440
6	-8875281	-8968554	-8952735	-8998745	-8979112	-9005831	-8901932	-8971461	-8961062	-8998057
7	-8875354	-8967887	-8952502	-8999908	-8978934	-9006506	-8900505	-8972469	-8961004	-8997244
8	-8874862	-8967216	-8952603	-8999878	-8979433	-9007093	-8898856	-8973883	-8961927	-8997538
9	-8874756	-8966422	-8954110	-9000294	-8980443	-9006635	-8898990	-8972596	-8960719	-8997948
10	-8874922	-8965558	-8954100	-8999078	-8980090	-9006906	-8898927	-8973157	-8961337	-8997971
11	-8874846	-8967307	-8954956	-8999898	-8979699	-9006354	-8898744	-8973242	-8961982	-8997898
12	-8875478	-8967367	-8955021	-8999429	-8979681	-9005494	-8899056	-8973584	-8962091	-8997596
13	-8875465	-8967829	-8955360	-8999856	-8979896	-9005802	-8899419	-8973358	-8960721	-8998521
14	-8875295	-8967864	-8955820	-8999996	-8979579	-9005968	-8899254	-8973444	-8961057	-8998904
15	-8875100	-8967542	-8956616	-8998860	-8979116	-9005719	-8899429	-8973214	-8961503	-8999709
16	-8875665	-8967854	-8956629	-8998967	-8979353	-9004682	-8898522	-8974188	-8961737	-8999780
17	-8875442	-8966704	-8957038	-8999865	-8979460	-9005072	-8898668	-8974274	-8960744	-8999878
18	-8875469	-8965474	-8957772	-8999596	-8980490	-9007138	-8898624	-8974449	-8960453	-8999129
19	-8874949	-8965973	-8958114	-8998971	-8979878	-9007891	-8896552	-8973509	-8959843	-8998815
20	-8875413	-8966300	-8956657	-8997777	-8979901	-9008180	-8895743	-8972366	-8959911	-8998600
21	-8875499	-8965279	-8956264	-8997424	-8980741	-9009154	-8896805	-8972436	-8960134	-8999713
22	-8875262	-8965590	-8956673	-8997338	-8980725	-9009265	-8896057	-8971913	-8961011	-8998860
23	-8875964	-8965306	-8956240	-8997328	-8980567	-9009525	-8896808	-8970826	-8962047	-8998120
24	-8877013	-8966055	-8956555	-8997605	-8980951	-9008053	-8896884	-8970590	-8962751	-8998088
25	-8877095	-8965468	-8956457	-8997923	-8982208	-9007488	-8895189	-8969038	-8962534	-8998923
26	-8876209	-8965397	-8955742	-8998867	-8983093	-9008116	-8894838	-8969210	-8962576	-8999647
27	-8876577	-8965387	-8955060	-9000163	-8983820	-9008484	-8895496	-8968617	-8963628	-8999669
28	-8877239	-8966163	-8953901	-8999037	-8984762	-9007591	-8894925	-8969493	-8963685	-9001351
29	-8878422	-8966228	-8952584	-8998662	-8984538	-9007813	-8894798	-8969840	-8963680	-9000689
30	-8878995	-8965607	-8951521	-8999932	-8985069	-9007815	-8894904	-8969784	-8963407	-9000418
31	-8879309	-8965322	-8951780	-9002070	-8983773	-9007186	-8895119	-8969190	-8962033	-9000464
32	-8879728	-8966515	-8950974	-9001479	-8983509	-9007297	-8894728	-8969653	-8961319	-8999906
33	-8880594	-8965371	-8951275	-9001939	-8982761	-9007764	-8893833	-8970791	-8961812	-8999642
34	-8881310	-8964770	-8950707	-9002824	-8984353	-9006806	-8894567	-8971636	-8962823	-8999638
35	-8882401	-8964362	-8951667	-9002238	-8983442	-9006536	-8894397	-8972773	-8963468	-8999860
36	-8883457	-8964930	-8950956	-9001836	-8984006	-9007380	-8894891	-8972745	-8964725	-9000395
37	-8884286	-8964147	-8951217	-9001170	-8984624	-9006509	-8893614	-8972472	-8965107	-9001220
38	-8884122	-8965204	-8951434	-9001696	-8984685	-9004992	-8893773	-8972102	-8964704	-9000239
39	-8883728	-8966591	-8951299	-9001597	-8983263	-9004131	-8894517	-8971470	-8965264	-9000547
40	-8882653	-8966211	-8950784	-9002419	-8981991	-9004548	-8893976	-8971574	-8965943	-9000569
41	-8882774	-8965053	-8951509	-9002776	-8983542	-9003923	-8895017	-8970795	-8966620	-9000034
42	-8883182	-8965401	-8952006	-9001023	-8982902	-9003033	-8894585	-8971240	-8966006	-9000344
43	-8883751	-8966595	-8951749	-9001263	-8982179	-9001756	-8895356	-8971128	-8966163	-9000465
44	-8883733	-8967184	-8950624	-9001230	-8981603	-9001279	-8895007	-8970558	-8967171	-9000522
45	-8884355	-8967099	-8950120	-9001850	-8981443	-9001215	-8894959	-8971771	-8967170	-9000512
46	-8884424	-8966727	-8949531	-9001865	-8981112	-9000556	-8894850	-8972903	-8968641	-8998940
47	-8883910	-8966016	-8949360	-9002851	-8981090	-9000577	-8895919	-8972937	-8969820	-8998807
48	-8884394	-8965438	-8949094	-9003251	-8980901	-8999733	-8896097	-8972911	-8969577	-8999108
49	-8885399	-8965094	-8947865	-9002960	-8980287	-8997708	-8895867	-8973700	-8969738	-8998955
50	-8884863	-8967252	-8948100	-9002767	-8980969	-8997746	-8896000	-8973532	-8969310	-8998410
51	-8883641	-8966993	-8947653	-9002924	-8980345	-8997749	-8896451	-8975229	-8969108	-8997060
52	-8883415	-8967389	-8947963	-9002530	-8979092	-8997919	-8896503	-8976079	-8969503	-8997912
53	-8884034	-8968890	-8948664	-9002723	-8978722	-8998570	-8897097	-8977178	-8970314	-8997713
54	-8883858	-8969742	-8949226	-9003363	-8979114	-8998554	-8897219	-8977529	-8970691	-8996711
55	-8884311	-8969763	-8949019	-9002697	-8981410	-8998854	-8897723	-8977821	-8971121	-8996096
56	-8883149	-8970686	-8948973	-9001639	-8980534	-8999628	-8896922	-8976402	-8970284	-8996492
57	-8882680	-8971231	-8949566	-9001500	-8980625	-8999470	-8896254	-8977834	-8971178	-8997130
58	-8882584	-8971476	-8949165	-9003079	-8979831	-8998805	-8897308	-8979384	-8971742	-8997355
59	-8881551	-8970989	-8948865	-9003586	-8979088	-8998961	-8898059	-8980758	-8972334	-8996789
60	-8880886	-8972726	-8948998	-9003558	-8978206	-8998114	-8899814	-8980201	-8972079	-8996357
61	-8880020	-8973288	-8948411	-9003812	-8978684	-8997219	-8900068	-8980317	-8971128	-8996616
62	-8880258	-8973644	-8948173	-9004232	-8978222	-8995778	-8900125	-8978937	-8971459	-8996914
63	-8879119	-8974207	-8948287	-9003537	-8976748	-8996290	-8900282	-8979770	-8971983	-8996941
64	-8878185	-8973768	-8948679	-9004982	-8976033	-8996048	-8900103	-8980182	-8972286	-8996655
65	-8877140	-8975219	-8948011	-9004285	-8976582	-8994986	-8899791	-8980173	-8973165	-8995903
66	-8878033	-8976208	-8948244	-9004953	-8976179	-8995018	-8898756	-8980379	-8972647	-8995237
67	-8876970	-8977059	-8947078	-9004837	-8975622	-8995541	-8899285	-8980636	-8973923	-8995444
68	-8876521	-8977659	-8946348	-9005500	-8976351	-8996633	-8899791	-8981378	-8972687	-8994687
69	-8877283	-8978202	-8946989	-9005799	-8975555	-8995808	-8900036	-8980811	-8971645	-8995287
70	-8877141	-8978509	-8947278	-9005575	-8975941	-8995632	-8899552	-8982323	-8970018	-8994577
71	-8876813	-8977743	-8947229	-9006141	-8975814	-8995146	-8899458	-8981521	-8970481	-8996037
72	-8877050	-8977423	-8948211	-9005673	-8976675	-8995054	-8899948	-8980873	-8969867	-8995907
73	-8877590	-8977831	-8949955	-9005801	-8976221	-8995168	-8900591	-8980365	-8968551	-8995821
74	-8877510	-8979096	-8950831	-9004914	-8976662	-8996482	-8900790	-8979527	-8969265	-8996454
75	-8877031	-8980506	-8952704	-9004966	-8975617	-8997088	-8900627	-8979171	-8969856	-8995494
76	-8877253	-8980273	-8952313	-9005947	-8974145	-8997602	-8901165	-8977856	-8969572	-8996183
77	-8876948	-8980854	-8952182	-9004867	-8973352	-8997338	-8900719	-8976971	-8969027	-8996726
78	-8877945	-8979267	-8952477	-9005807	-8973380	-8998002	-8901794	-8976140	-8968142	-8998532
79	-8877191	-8979415	-8952771	-9006143	-8972783	-8998158	-8901115	-8975759	-8966163	-8997836
80	-8877236	-8980599	-8954474	-9007271	-8972568	-8998970	-8900903	-8976342	-8965532	-8997972
81	-8876975	-8980631	-8955133	-9007056	-8972034	-8999928	-8900631	-8975561	-8965044	-8997624
82	-8876557	-8980365	-8955454	-9007172	-8972304	-9000183	-8900984	-8975238	-8965430	-8997730
83	-8877131	-8979351	-8955588	-9008361	-8973248	-9000038	-8901623	-8975829	-8965776	-8998705
84	-8876929	-8978685	-8957560	-9008831	-8973199	-9000139	-8902128	-8975018	-8967069	-8999401
85	-8878040	-8977594	-8957644	-9009188	-8973228	-9000616	-8901796	-8974736	-8966713	-8999155
86	-8879918	-8977348	-8957715	-9009094	-8973857	-9000996	-8901165	-8975164	-8966772	-8998754
87	-8880010	-8977033	-8956983	-9009040	-8972870	-9001302	-8900788	-8975280	-8965352	-8998512
88	-8880099	-8976760	-8956574	-9007714	-8973543	-9001237	-8901053	-8975619	-8965152	-8997307
89	-8879549	-8977195	-8956279	-9008484	-8973614	-9001018	-8900896	-8975935	-8965422	-8997300
90	-8880595	-8976737	-8957144	-9009370	-8973733	-9001634	-8901022	-8976137	-8965528	-8997442
91	-8880876	-8976986	-8957133	-9009118	-8973775	-9001766	-8901657	-8976837	-8965984	-8997805
92	-8881172	-8976866	-8957493	-9009006	-8973494	-9002231	-8902468	-8975648	-8966451	-8998247
93	-8880958	-8977067	-8957788	-9009001	-8973023	-9002079	-8904375	-8975626	-8967171	-8998192
94	-8881410	-8977330	-8958633	-9008465	-8973649	-9001887	-8903953	-8975966	-8967966	-8997985
95	-8881106	-8976688	-8959874	-9008859	-8973585	-9000880	-8904218	-8976739	-8969125	-8999237
96	-8881400	-8977425	-8959185	-9008671	-8973181	-9001292	-8903408	-8975987	-8969464	-8999182
97	-8881236	-8975755	-8957981	-9009519	-8972881	-9001712	-8903802	-8975023	-8968470	-8999203
