#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-1356958	-1384191	-1316584	-1334489	-1325839	-1337259	-1348097	-1374639	-1328841	-1370386
2	-1357259	-1384242	-1317253	-1334164	-1325764	-1337373	-1348308	-1374959	-1328842	-1370161
3	-1357177	-1384492	-1317511	-1333714	-1325653	-1337427	-1348326	-1375231	-1329048	-1370082
4	-1357240	-1384036	-1317955	-1333847	-1326130	-1337369	-1348437	-1375409	-1329273	-1370305
5	-1357324	-1384384	-1317994	-1333871	-1326209	-1336936	-1348118	-1375249	-1329228	-1370102
6	-1357172	-1384366	-1318702	-1334614	-1326611	-1336864	-1347992	-1375082	-1329633	-1370191
7	-1357035	-1384009	-1318814	-1335175	-1326919	-1336792	-1348003	-1374984	-1329681	-1370224
8	-1357322	-1384504	-1318808	-1335204	-1327579	-1336950	-1348141	-1375425	-1329333	-1370307
9	-1357218	-1384679	-1318813	-1334846	-1327864	-1337239	-1348157	-1375667	-1329285	-1369953
10	-1356948	-1384774	-1318789	-1334908	-1327633	-1336559	-1348016	-1376281	-1328950	-1370017
11	-1356520	-1384819	-1318779	-1335061	-1327462	-1336717	-1348029	-1376151	-1329040	-1370079
12	-1356304	-1384893	-1319035	-1334559	-1327821	-1336668	-1348048	-1376577	-1328873	-1369852
13	-1356284	-1385033	-1318903	-1334417	-1328022	-1336184	-1347749	-1376472	-1328798	-1369789
14	-1356397	-1384872	-1318769	-1333759	-1328208	-1336132	-1347730	-1376280	-1328796	-1369859
15	-1356100	-1384846	-1318584	-1333417	-1328255	-1336062	-1347481	-1376000	-1329054	-1369971
16	-1355817	-1384889	-1318250	-1333928	-1328457	-1336515	-1347431	-1376614	-1328591	-1370052
17	-1355486	-1384883	-1318770	-1334123	-1328390	-1337167	-1348174	-1376757	-1328636	-1369984
18	-1355185	-1385121	-1319262	-1334133	-1328442	-1336875	-1348835	-1376963	-1328605	-1370011
19	-1355673	-1385139	-1319452	-1333577	-1328300	-1336268	-1348878	-1377024	-1328983	-1369855
20	-1355738	-1384761	-1319762	-1333732	-1328173	-1336534	-1348789	-1376824	-1328192	-1370223
21	-1355765	-1384783	-1319757	-1333712	-1328422	-1336444	-1348451	-1377423	-1328127	-1370788
22	-1355531	-1385062	-1319901	-1333347	-1328344	-1336316	-1348516	-1377510	-1328001	-1370660
23	-1355602	-1385264	-1320084	-1333585	-1328123	-1336427	-1348560	-1377806	-1328298	-1370246
24	-1355543	-1385237	-1320184	-1333815	-1328228	-1336265	-1348870	-1377994	-1328324	-1369904
25	-1354869	-1384841	-1319910	-1333475	-1328261	-1336498	-1349121	-1377764	-1328362	-1369812
26	-1354793	-1384970	-1319907	-1333376	-1328268	-1336462	-1348885	-1377526	-1328099	-1370412
27	-1354606	-1385255	-1319696	-1333536	-1328679	-1337154	-1348623	-1377823	-1328598	-1370486
28	-1354544	-1385311	-1319515	-1333980	-1328618	-1337632	-1348623	-1377713	-1329021	-1370300
29	-1354717	-1385452	-1319101	-1334042	-1328969	-1337896	-1348606	-1378133	-1329284	-1370128
30	-1354552	-1385073	-1318974	-1333933	-1329009	-1337663	-1348193	-1377578	-1329412	-1370174
