#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-7796584	-7876627	-7892605	-7838859	-7803626	-7819692	-7840525	-7902686	-7723602	-7840185
2	-7794782	-7877462	-7891227	-7839070	-7802555	-7818422	-7840008	-7900022	-7722808	-7841831
3	-7795616	-7878792	-7890107	-7839902	-7801423	-7819560	-7839121	-7899721	-7722372	-7842974
4	-7795460	-7878397	-7890472	-7840505	-7802351	-7818947	-7841103	-7899415	-7722141	-7845214
5	-7796644	-7878124	-7889813	-7839816	-7803273	-7816877	-7841939	-7899512	-7721434	-7845426
6	-7796430	-7875061	-7888838	-7839042	-7802404	-7817178	-7840331	-7900286	-7721803	-7845610
7	-7797405	-7873846	-7889248	-7838142	-7802245	-7817999	-7841923	-7899690	-7722834	-7844927
8	-7798176	-7874298	-7888475	-7836963	-7802754	-7817938	-7841601	-7900168	-7721979	-7844676
9	-7796653	-7874141	-7888196	-7835397	-7801255	-7818078	-7840401	-7899361	-7723535	-7844776
10	-7796348	-7874033	-7886263	-7834612	-7799204	-7816190	-7838268	-7899834	-7724229	-7845073
11	-7794280	-7874376	-7886060	-7834925	-7798462	-7816133	-7837192	-7900070	-7725326	-7845163
12	-7792785	-7873124	-7886760	-7832913	-7795693	-7815430	-7836362	-7898959	-7727051	-7844417
13	-7793307	-7873456	-7887002	-7832938	-7794248	-7813786	-7834406	-7898181	-7727962	-7843201
14	-7792374	-7872811	-7886979	-7833634	-7792628	-7814018	-7833545	-7896995	-7730125	-7842794
15	-7794100	-7872214	-7886310	-7833462	-7792279	-7813304	-7832668	-7897469	-7731157	-7843035
16	-7795813	-7873436	-7885903	-7833860	-7792357	-7813193	-7832983	-7898198	-7732297	-7843421
17	-7796425	-7873281	-7886375	-7833749	-7794639	-7813257	-7834133	-7897981	-7732192	-7845024
18	-7796649	-7872743	-7887579	-7832523	-7795116	-7813608	-7832324	-7898480	-7732785	-7844562
19	-7797153	-7872964	-7886976	-7833053	-7794809	-7813678	-7831544	-7899051	-7734502	-7844747
