#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-7465001	-7401904	-7439781	-7440567	-7478996	-7570763	-7478955	-7465706	-7541416	-7544543
2	-7465743	-7399930	-7439668	-7441167	-7479272	-7571284	-7480453	-7465047	-7540990	-7544954
3	-7466514	-7398193	-7440821	-7442508	-7479512	-7570867	-7481760	-7466115	-7542573	-7544387
4	-7465002	-7398759	-7439804	-7444065	-7480446	-7571882	-7484313	-7466032	-7541636	-7543505
5	-7466814	-7399103	-7439151	-7444030	-7481635	-7572552	-7486440	-7465433	-7541947	-7544154
6	-7467253	-7399201	-7439964	-7444308	-7482178	-7571779	-7487761	-7464896	-7540383	-7543439
7	-7467680	-7399957	-7441014	-7443990	-7484446	-7573219	-7489070	-7465747	-7540234	-7541512
8	-7468730	-7400721	-7439943	-7445236	-7485727	-7571514	-7489392	-7466499	-7539165	-7540753
9	-7468631	-7401188	-7439893	-7445938	-7488447	-7570579	-7489444	-7467377	-7538876	-7542822
10	-7468858	-7401775	-7439743	-7445080	-7489232	-7569538	-7489875	-7468996	-7539502	-7544622
11	-7468876	-7401500	-7439807	-7445841	-7490070	-7569381	-7490705	-7470435	-7539269	-7546032
12	-7469656	-7402555	-7438913	-7446823	-7492404	-7569978	-7491477	-7471041	-7537615	-7546038
13	-7471006	-7403481	-7438901	-7447572	-7493039	-7569764	-7493386	-7470411	-7535626	-7547347
14	-7472679	-7405006	-7440752	-7448066	-7494760	-7568483	-7494717	-7470003	-7536910	-7547906
15	-7474926	-7404712	-7441587	-7450836	-7494722	-7568773	-7495499	-7467969	-7538237	-7546775
16	-7478247	-7404264	-7443203	-7452329	-7496241	-7568497	-7496189	-7465344	-7539042	-7545918
17	-7480293	-7402465	-7444318	-7453180	-7495823	-7568349	-7497822	-7465402	-7539746	-7546680
18	-7480646	-7401836	-7444400	-7452881	-7496742	-7567445	-7497049	-7464376	-7540858	-7545571
19	-7481410	-7400985	-7443013	-7452541	-7497867	-7568664	-7497608	-7465296	-7540456	-7544721
20	-7480711	-7401853	-7442591	-7451232	-7498215	-7568502	-7499661	-7464241	-7541609	-7544745
21	-7480383	-7401506	-7443196	-7450519	-7500528	-7569526	-7499297	-7465469	-7539836	-7544228
22	-7479814	-7401646	-7443478	-7450719	-7501989	-7569984	-7500276	-7465664	-7538444	-7544728
23	-7480010	-7402719	-7444938	-7450375	-7502899	-7569714	-7501030	-7465957	-7538430	-7545033
24	-7480810	-7403158	-7443511	-7451610	-7503409	-7568979	-7499751	-7467507	-7538530	-7545457
25	-7481392	-7403397	-7442965	-7453718	-7504291	-7568220	-7499379	-7468280	-7538979	-7545005
26	-7481019	-7404126	-7442645	-7455203	-7503065	-7567487	-7500146	-7468149	-7538524	-7543751
27	-7480887	-7404708	-7443475	-7456807	-7504164	-7565638	-7501694	-7466937	-7538482	-7544133
28	-7478556	-7405524	-7444181	-7458005	-7505358	-7566745	-7500658	-7466775	-7539591	-7542111
29	-7478961	-7406642	-7442683	-7459005	-7505739	-7567291	-7502101	-7467932	-7539253	-7540177
30	-7479532	-7408426	-7442231	-7459923	-7505092	-7568019	-7502427	-7468097	-7538215	-7539875
31	-7481576	-7409402	-7442403	-7461514	-7505824	-7568382	-7501835	-7468654	-7535906	-7540004
32	-7482059	-7409314	-7442717	-7461725	-7507032	-7569328	-7500077	-7469111	-7535436	-7538396
33	-7483004	-7408875	-7443601	-7460775	-7507602	-7571435	-7499667	-7470536	-7535017	-7538664
34	-7483610	-7407805	-7445330	-7461200	-7506766	-7571922	-7500389	-7470734	-7535792	-7539496
35	-7483563	-7408144	-7445780	-7461280	-7508150	-7573400	-7498906	-7471424	-7536614	-7540518
36	-7482585	-7407787	-7447139	-7460565	-7509761	-7573200	-7498244	-7471091	-7536876	-7540994
37	-7482274	-7408317	-7447118	-7460497	-7510249	-7573162	-7498396	-7471427	-7536492	-7542312
38	-7481641	-7410563	-7446165	-7461112	-7511563	-7571188	-7498587	-7472152	-7535708	-7542700
39	-7481466	-7411840	-7444842	-7461069	-7513557	-7570440	-7499618	-7471994	-7534805	-7543268
40	-7481783	-7411451	-7443665	-7460791	-7514178	-7569273	-7499600	-7473139	-7535152	-7543367
41	-7481858	-7412030	-7443097	-7461405	-7514409	-7570688	-7501191	-7474216	-7533564	-7541301
42	-7482159	-7412153	-7442384	-7462760	-7514321	-7572744	-7501551	-7474006	-7534234	-7541328
43	-7482937	-7411359	-7443841	-7462584	-7514252	-7573812	-7500135	-7475009	-7535137	-7540896
44	-7482804	-7410638	-7444069	-7462338	-7515160	-7573831	-7499751	-7475108	-7536440	-7540865
45	-7481078	-7410199	-7445117	-7463050	-7514841	-7575693	-7498427	-7476145	-7536456	-7541420
46	-7482563	-7410530	-7445933	-7462042	-7515851	-7576436	-7498203	-7475320	-7538067	-7541429
47	-7481636	-7410675	-7446756	-7460082	-7516056	-7575011	-7498296	-7474573	-7538102	-7541398
48	-7480671	-7410550	-7448075	-7460519	-7516354	-7574153	-7498784	-7475078	-7538389	-7542018
49	-7479983	-7410640	-7450700	-7460399	-7517141	-7574990	-7496988	-7475893	-7538981	-7542487
50	-7478994	-7410336	-7451487	-7461930	-7517214	-7575438	-7495676	-7476898	-7539617	-7542064
51	-7477811	-7409049	-7453933	-7462182	-7517559	-7576367	-7493702	-7478218	-7538343	-7542876
52	-7477250	-7409539	-7455675	-7461130	-7519192	-7576462	-7493271	-7479951	-7538070	-7541828
53	-7477075	-7409162	-7455946	-7462173	-7521491	-7575512	-7492707	-7480387	-7537722	-7542063
54	-7478006	-7410091	-7455635	-7462617	-7522289	-7575178	-7494313	-7481120	-7538220	-7541639
55	-7476650	-7411139	-7456077	-7463517	-7521128	-7573852	-7494639	-7481684	-7539925	-7541144
56	-7475296	-7411041	-7455124	-7463215	-7521307	-7572863	-7493818	-7481694	-7540675	-7541398
57	-7473785	-7411100	-7454986	-7463745	-7519962	-7570821	-7492969	-7481402	-7541406	-7542396
58	-7473844	-7410653	-7455670	-7462173	-7519951	-7568539	-7493567	-7481834	-7542269	-7542728
59	-7473596	-7410630	-7454689	-7462386	-7518699	-7565999	-7492336	-7481083	-7542636	-7541902
60	-7473126	-7410523	-7453742	-7461511	-7518386	-7565436	-7491660	-7480508	-7542499	-7541634
61	-7473432	-7410994	-7452088	-7460222	-7519050	-7564731	-7490731	-7480923	-7542103	-7540107
62	-7474187	-7411518	-7450297	-7460328	-7518357	-7563890	-7489111	-7481518	-7542034	-7540588
63	-7473154	-7411936	-7449496	-7460408	-7518553	-7563074	-7490934	-7482455	-7542707	-7538533
64	-7473566	-7412930	-7451703	-7460793	-7521396	-7561619	-7489822	-7482510	-7545127	-7538908
65	-7474285	-7412675	-7452163	-7461622	-7521270	-7560644	-7489064	-7483096	-7545275	-7539162
66	-7475192	-7413753	-7452708	-7462370	-7520635	-7560442	-7489604	-7483848	-7544389	-7539054
67	-7473141	-7414465	-7453099	-7464891	-7519520	-7558516	-7489179	-7485196	-7543453	-7539034
68	-7471298	-7412645	-7452220	-7466309	-7517213	-7558001	-7488411	-7485290	-7543163	-7538335
69	-7470462	-7412987	-7450923	-7466496	-7516070	-7557794	-7487143	-7485072	-7542398	-7537508
70	-7469316	-7413041	-7451033	-7466563	-7516169	-7557345	-7487286	-7485592	-7543129	-7537001
71	-7469098	-7413429	-7450734	-7465816	-7516153	-7556789	-7486815	-7487150	-7542262	-7535503
72	-7469031	-7413954	-7449496	-7466496	-7515080	-7558280	-7486791	-7488804	-7542261	-7535731
73	-7470030	-7414094	-7449547	-7467324	-7515781	-7560288	-7487293	-7489012	-7542531	-7537168
74	-7471562	-7414620	-7449323	-7466889	-7516069	-7560517	-7487837	-7488948	-7541494	-7538036
75	-7472249	-7413710	-7448136	-7467965	-7514441	-7560555	-7488208	-7490194	-7542090	-7537434
76	-7472928	-7414337	-7447537	-7467680	-7511516	-7561391	-7489112	-7490272	-7541576	-7538788
77	-7472237	-7413508	-7448645	-7467515	-7509700	-7561665	-7489492	-7490298	-7541713	-7539379
78	-7472402	-7414940	-7449204	-7468196	-7509328	-7559233	-7489274	-7490460	-7541658	-7539437
79	-7470935	-7415643	-7448409	-7468936	-7508806	-7559014	-7489783	-7489988	-7541564	-7539757
80	-7469674	-7417891	-7447156	-7470286	-7510073	-7557830	-7490222	-7488675	-7541557	-7540088
81	-7471420	-7420750	-7447904	-7471772	-7511389	-7557834	-7489910	-7488923	-7541839	-7539502
82	-7470138	-7419192	-7447750	-7472942	-7511323	-7558590	-7488811	-7489449	-7541596	-7539690
83	-7470841	-7420423	-7446223	-7473241	-7512084	-7558555	-7487390	-7490034	-7540856	-7541047
84	-7471280	-7421460	-7443996	-7473258	-7510419	-7559332	-7485657	-7491357	-7540658	-7540978
85	-7472399	-7421872	-7442726	-7473001	-7509022	-7559762	-7485259	-7491034	-7541419	-7541430
86	-7472507	-7422542	-7442946	-7474309	-7507908	-7558200	-7486317	-7491148	-7539188	-7538996
87	-7471553	-7423050	-7443679	-7474497	-7504477	-7558028	-7487194	-7491565	-7537842	-7539123
88	-7471503	-7423301	-7443899	-7474104	-7503567	-7558553	-7488864	-7490503	-7537666	-7539684
89	-7472360	-7423255	-7443589	-7474174	-7504303	-7557044	-7490923	-7490518	-7538823	-7539812
90	-7473314	-7423566	-7444919	-7475750	-7504857	-7556812	-7492282	-7488013	-7539908	-7539502
91	-7474121	-7423173	-7446343	-7475774	-7503485	-7555898	-7492719	-7489085	-7539783	-7537319
92	-7473772	-7421512	-7446701	-7474634	-7503675	-7555889	-7493685	-7489977	-7538322	-7536181
93	-7473444	-7421223	-7447238	-7475312	-7500775	-7554558	-7492962	-7489234	-7537282	-7536776
94	-7471542	-7420226	-7446612	-7474385	-7500727	-7555289	-7492757	-7489652	-7538077	-7535812
95	-7470727	-7420696	-7445000	-7474190	-7499671	-7555388	-7493115	-7490779	-7539262	-7534120
96	-7470246	-7421038	-7442946	-7472728	-7500394	-7555254	-7493888	-7490532	-7539450	-7534900
97	-7470979	-7420473	-7442568	-7472773	-7500051	-7556943	-7494856	-7491460	-7540882	-7534560
98	-7470593	-7419959	-7441220	-7471519	-7497665	-7556478	-7496463	-7490421	-7540116	-7534050
99	-7471135	-7420471	-7439894	-7472303	-7497430	-7556636	-7497729	-7491046	-7539596	-7532743
100	-7470179	-7421348	-7439087	-7474590	-7496073	-7556613	-7499659	-7491429	-7540116	-7532926
101	-7469982	-7422466	-7439228	-7476192	-7493877	-7556801	-7501588	-7492003	-7540519	-7533132
102	-7468974	-7422132	-7438236	-7476756	-7492372	-7556681	-7502581	-7491078	-7540489	-7532822
103	-7468337	-7422699	-7438474	-7475384	-7490764	-7556683	-7502144	-7492450	-7540248	-7532814
104	-7467120	-7420958	-7436603	-7474853	-7488029	-7556747	-7501870	-7491230	-7540514	-7531761
105	-7465518	-7419439	-7434520	-7475311	-7488383	-7557809	-7500442	-7490932	-7541101	-7529681
106	-7463586	-7419201	-7433625	-7475287	-7487513	-7558892	-7499638	-7491005	-7541577	-7527334
