#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-4091107	-4069983	-4045282	-4069878	-4030562	-4011400	-4095451	-4138798	-4131808	-4156777
2	-4091288	-4068983	-4046221	-4069949	-4030273	-4011561	-4095176	-4139225	-4131739	-4157489
3	-4091025	-4068751	-4046256	-4070714	-4030919	-4011465	-4095517	-4139469	-4132197	-4157365
4	-4089674	-4068247	-4045857	-4070902	-4030361	-4011064	-4095374	-4139338	-4133657	-4157855
5	-4090142	-4068001	-4045802	-4070464	-4029610	-4011102	-4095732	-4139006	-4134301	-4158211
6	-4090387	-4067963	-4045666	-4070238	-4029558	-4010875	-4095553	-4139215	-4134121	-4158119
7	-4090132	-4067565	-4045584	-4070056	-4029654	-4011197	-4094725	-4138784	-4134089	-4158105
8	-4090534	-4067996	-4045656	-4070223	-4030316	-4011122	-4095053	-4139542	-4133678	-4158708
9	-4090497	-4067753	-4045989	-4070268	-4030940	-4011247	-4095012	-4139410	-4133908	-4158747
10	-4090476	-4067601	-4045602	-4070776	-4030901	-4012270	-4094812	-4139864	-4134031	-4158737
11	-4090092	-4067241	-4045438	-4071222	-4030784	-4012741	-4094253	-4139887	-4133736	-4158390
12	-4090501	-4067789	-4044801	-4070598	-4031743	-4013909	-4093997	-4139808	-4133940	-4158709
13	-4090287	-4068904	-4045429	-4070913	-4031528	-4013935	-4094005	-4140103	-4133238	-4159288
14	-4089868	-4068821	-4045451	-4070610	-4031863	-4014301	-4094717	-4140155	-4133185	-4159686
15	-4089267	-4069156	-4046007	-4070801	-4031954	-4014004	-4093785	-4139930	-4132303	-4159390
16	-4089181	-4069582	-4046432	-4069826	-4031475	-4013996	-4093634	-4139301	-4131822	-4159183
17	-4088848	-4069100	-4046461	-4069246	-4032480	-4014567	-4093391	-4139226	-4132400	-4159352
18	-4089653	-4069062	-4046128	-4069292	-4032430	-4014345	-4093119	-4138864	-4132511	-4160067
19	-4089562	-4068917	-4045929	-4069306	-4032344	-4014048	-4093555	-4139108	-4131732	-4159796
20	-4090077	-4069098	-4045562	-4069236	-4032621	-4014105	-4093399	-4138638	-4132190	-4160014
21	-4090505	-4070165	-4046135	-4070537	-4031706	-4014639	-4092979	-4139233	-4131539	-4159801
