#Pos	Sites-1	Sites-2	Sites-3	Sites-4	Sites-5	Sites-6	Sites-7	Sites-8	Sites-9	Sites-10
1	-9165496	-9099994	-9198899	-9125298	-9249993	-9105879	-9064385	-9314126	-9205915	-9164191
2	-9165534	-9099733	-9199485	-9125077	-9249392	-9107294	-9063943	-9314069	-9205345	-9163443
3	-9165700	-9099778	-9198924	-9124559	-9250475	-9106587	-9064787	-9313442	-9205767	-9163157
4	-9165135	-9100793	-9197926	-9126156	-9250073	-9106713	-9064856	-9312907	-9205207	-9162704
5	-9165231	-9101320	-9198638	-9126167	-9248628	-9106150	-9064894	-9312670	-9206212	-9161661
6	-9165007	-9100570	-9198416	-9125944	-9247508	-9105123	-9065200	-9313263	-9205899	-9162432
7	-9166105	-9100600	-9198178	-9126668	-9248120	-9104961	-9066290	-9314196	-9205582	-9162644
8	-9165524	-9100856	-9198441	-9127311	-9248259	-9104481	-9067197	-9314796	-9205862	-9162849
9	-9164573	-9100120	-9197752	-9127850	-9247971	-9105497	-9066826	-9313656	-9206004	-9162224
10	-9163459	-9100744	-9198841	-9127749	-9248095	-9105167	-9067046	-9312179	-9206850	-9162170
11	-9162973	-9100934	-9198888	-9127328	-9248007	-9105179	-9066812	-9311388	-9206248	-9162825
12	-9161700	-9100400	-9201027	-9127123	-9248865	-9105646	-9067029	-9311713	-9206071	-9162891
13	-9162708	-9099230	-9201119	-9126960	-9247390	-9106612	-9067637	-9312435	-9205184	-9162812
14	-9163136	-9098750	-9201378	-9128287	-9248164	-9106974	-9067782	-9313194	-9204931	-9162697
15	-9163812	-9099526	-9201890	-9128226	-9247686	-9106447	-9066633	-9311713	-9204529	-9163312
16	-9163363	-9099297	-9202894	-9128164	-9247397	-9105645	-9067433	-9312720	-9205235	-9162785
17	-9162779	-9099434	-9203327	-9128834	-9247263	-9105205	-9067248	-9312882	-9204611	-9162883
18	-9161760	-9098484	-9203149	-9129545	-9247133	-9104819	-9066088	-9313275	-9203982	-9162584
19	-9162290	-9098341	-9202943	-9130207	-9245906	-9105386	-9065485	-9312390	-9203872	-9162275
20	-9162051	-9099525	-9202998	-9130297	-9246156	-9105887	-9065775	-9311627	-9205145	-9162787
21	-9162399	-9098619	-9203338	-9129699	-9245176	-9104976	-9066668	-9309772	-9205072	-9161796
22	-9162506	-9098117	-9203348	-9130067	-9245678	-9103292	-9065806	-9310017	-9203697	-9163097
23	-9162596	-9098266	-9203428	-9130138	-9246529	-9102740	-9065833	-9310652	-9204755	-9162873
24	-9162488	-9097348	-9203047	-9130927	-9246255	-9102617	-9066277	-9311103	-9204741	-9161699
25	-9163016	-9098521	-9201777	-9130653	-9245615	-9102079	-9067569	-9310931	-9203911	-9161757
26	-9162903	-9099070	-9201585	-9131135	-9245957	-9102146	-9066752	-9310864	-9203958	-9160021
27	-9162310	-9098694	-9201044	-9130253	-9246484	-9101374	-9066383	-9311600	-9203763	-9160210
28	-9162928	-9097979	-9201582	-9130796	-9245751	-9100573	-9066215	-9310841	-9203721	-9159036
